DOUBLE-FIRST,DOUBLE-SECOND
DOUBLE-FIRSTS,DOUBLE-SECONDS
FIRST,SECOND
FIRST'S,SECOND'S
FIRST-CLASS,SECOND-CLASS
FIRST-FRUITS,SECOND-FRUITS
FIRST-HAND,SECOND-HAND
FIRST-NIGHTER,SECOND-NIGHTER
FIRST-NIGHTER,SECOND-NIGHTER
FIRST-NIGHTERS,SECOND-NIGHTERS
FIRST-RATE,SECOND-RATE
FIRSTAR,SECONDAR
FIRSTAR'S,SECONDAR'S
FIRSTBALL,SECONDBALL
FIRSTBANK,SECONDBANK
FIRSTBANK'S,SECONDBANK'S
FIRSTBORN,SECONDBORN
FIRSTBORN'S,SECONDBORN'S
FIRSTBORNS,SECONDBORNS
FIRSTBROOK'S,SECONDBROOK'S
FIRSTENBERG,SECONDENBERG
FIRSTEST,SECONDEST
FIRSTFED,SECONDFED
FIRSTFED'S,SECONDFED'S
FIRSTFEDERAL,SECONDFEDERAL
FIRSTHAND,SECONDHAND
FIRSTISM,SECONDISM
FIRSTLIGHT,SECONDLIGHT
FIRSTLINE,SECONDLINE
FIRSTLINE'S,SECONDLINE'S
FIRSTLING,SECONDLING
FIRSTLINGS,SECONDLINGS
FIRSTLY,SECONDLY
FIRSTS,SECONDS
FIRSTSEASON,SECONDSEASON
FIRSTSOUTH,SECONDSOUTH
FIRSTSOUTH'S,SECONDSOUTH'S
FIRSTY,SECONDY
FURSTONE,SECONDSTONE
HEADFIRST,HEADSECOND
INTERFIRST,INTERSECOND
INTERFIRST'S,INTERSECOND'S
MEDFIRST,MEDSECOND
SEAFIRST,SEASECOND
SEAFIRST'S,SEASECOND'S
