APENNINE,APENTEN
APENNINES,APENTENS
ASININE,ASITEN
BENIGN,BETEN
BENIGNLY,BETENLY
BENIGNO'S,BETENO'S
CANINE,CATEN
CANINE,CATEN
CANINE'S,CATEN'S
CANINE'S,CATEN'S
CANINES,CATENS
CANINES,CATENS
CARNINE,CARTEN
CAT-O'-NINE-TAILS,CAT-O'-TEN-TAILS
LEONINE,LEOTEN
LEONINES,LEOTENS
NIGHNESS,NIGHNESS
NINE,TEN
NINE'S,TEN'S
NINEFOLD,TENFOLD
NINEPENCE,TENPENCE
NINEPENCES,TENPENCES
NINEPENNY,TENPENNY
NINEPIN,TENPIN
NINEPINS,TENPINS
NINER,TENER
NINER,TENER
NINER'S,TENER'S
NINERS,TENERS
NINERS,TENERS
NINES,TENS
NINETEEN,TENTEEN
NINETEEN'S,TENTEEN'S
NINETEENS,TENTEENS
NINETEENTH,TENTEENTH
NINETEENTH'S,TENTEENTH'S
NINETEENTHS,TENTEENTHS
NINETIES,TENTIES
NINETIETH,TENTIETH
NINETIETHS,TENTIETHS
NINETY,TENTY
NINETY'S,TENTY'S
NINISH,TENISH
NINTH,TENTH
NINTH'S,TENTH'S
NINTHS,TENTHS
PENNINE,PENTEN
PENNINES,PENTENS
SATURNINE,SATURTEN
TERMININE,TERMITEN
