THREE,FOUR
THREE'S,FOUR'S
THREE-CORNERED,FOUR-CORNERED
THREE-D,FOUR-D
THREE-DECKER,FOUR-DECKER
THREE-DECKER,FOUR-DECKER
THREE-DECKERS,FOUR-DECKERS
THREE-DIMENSIONAL,FOUR-DIMENSIONAL
THREE-FIGURE,FOUR-FIGURE
THREE-FIGURE,FOUR-FIGURE
THREE-FUNNELLED,FOUR-FUNNELLED
THREE-LANE,FOUR-LANE
THREE-LEGGED,FOUR-LEGGED
THREE-PIECE,FOUR-PIECE
THREE-PLY,FOUR-PLY
THREE-QUARTER,FOUR-QUARTER
THREE-QUARTER,FOUR-QUARTER
THREE-QUARTERS,FOUR-QUARTERS
THREE-SCORE,FOUR-SCORE
THREE-SCORE,FOUR-SCORE
THREE-STOREY,FOUR-STOREY
THREE-STOREYED,FOUR-STOREYED
THREE-WHEELED,FOUR-WHEELED
THREEFOLD,FOURFOLD
THREEFOLDED,FOURFOLDED
THREEFOLDEDNESS,FOURFOLDEDNESS
THREEFOLDLY,FOURFOLDLY
THREEFOLDNESS,FOURFOLDNESS
THREEISH,FOURISH
THREEMAN,FOURMAN
THREEMEN,FOURMEN
THREEMONTH,FOURMONTH
THREEPEAT,FOURPEAT
THREEPENCE,FOURPENCE
THREEPENCES,FOURPENCES
THREEPENNY,FOURPENNY
THREEPING,FOURPING
THREES,FOURS
THREESCORE,FOURSCORE
THREESOME,FOURSOME
THREESOME'S,FOURSOME'S
THREESOMES,FOURSOMES
THREET,FOURT
THREETEST,FOURTEST
